2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
49/738,66/625,UPTREND,Marie-Rivier,Kingston,8.1,81.00%,7.8,16.3,64.37%,72.68%
49/738,66/625,NO CHANGE,St Francis Xavier,Mississauga,8.1,81.00%,7.8,16.3,64.37%,72.68%
49/738,75/625,NO CHANGE,St Ignatius of Loyola,Oakville,8.1,81.00%,7.7,16.3,64.37%,72.68%
49/738,129/625,UPTREND,Merivale,Nepean,8.1,81.00%,7.3,16.3,64.37%,72.68%
49/738,n/a,NO CHANGE,Paul-Desmarais,Ottawa,8.1,81.00%,n/a,16.3,64.37%,72.68%
62/738,20/625,NO CHANGE,St Joseph's,Renfrew,8,80.00%,8.6,16.3,64.37%,72.18%
62/738,39/625,NO CHANGE,Holy Trinity,Kanata,8,80.00%,8.1,16.3,64.37%,72.18%
62/738,39/625,NO CHANGE,Westmount,Thornhill,8,80.00%,8.1,16.3,64.37%,72.18%
62/738,49/625,NO CHANGE,Marymount,Sudbury,8,80.00%,8,16.3,64.37%,72.18%
62/738,66/625,NO CHANGE,Eden,St Catharines,8,80.00%,7.8,16.3,64.37%,72.18%
62/738,66/625,UPTREND,Stephen Lewis,Thornhill,8,80.00%,7.8,16.3,64.37%,72.18%
62/738,75/625,NO CHANGE,A.Y. Jackson,Kanata,8,80.00%,7.7,16.3,64.37%,72.18%
62/738,75/625,NO CHANGE,Erin,Erin,8,80.00%,7.7,16.3,64.37%,72.18%
62/738,129/625,UPTREND,Tecumseh Vista,Tecumseh,8,80.00%,7.3,16.3,64.37%,72.18%
62/738,229/625,NO CHANGE,Toronto Ouest,Toronto,8,80.00%,6.7,16.3,64.37%,72.18%
75/738,29/625,NO CHANGE,Middlefield,Markham,7.9,79.00%,8.4,16.3,64.37%,71.68%
75/738,39/625,NO CHANGE,Humberside,Toronto,7.9,79.00%,8.1,16.3,64.37%,71.68%
75/738,202/625,NO CHANGE,Notre Dame,Carleton Place,7.9,79.00%,6.9,16.3,64.37%,71.68%
75/738,n/a,NO CHANGE,Bracebridge and Muskoka Lakes,Bracebridge,7.9,79.00%,n/a,16.3,64.37%,71.68%
75/738,n/a,NO CHANGE,Maurice-Lapointe,Kanata,7.9,79.00%,n/a,16.3,64.37%,71.68%
75/738,n/a,NO CHANGE,Uxbridge,Uxbridge,7.9,79.00%,n/a,16.3,64.37%,71.68%
84/738,49/625,NO CHANGE,Bill Crothers,Unionville,7.8,78.00%,8,16.3,64.37%,71.18%
84/738,49/625,DOWNTREND,Bishop Paul Francis Reding,Milton,7.8,78.00%,8,16.3,64.37%,71.18%
84/738,49/625,NO CHANGE,Malvern,Toronto,7.8,78.00%,8,16.3,64.37%,71.18%
84/738,57/625,NO CHANGE,Father John Redmond,Toronto,7.8,78.00%,7.9,16.3,64.37%,71.18%
84/738,57/625,NO CHANGE,Holy Name of Mary,Brampton,7.8,78.00%,7.9,16.3,64.37%,71.18%
84/738,57/625,NO CHANGE,Richview,Toronto,7.8,78.00%,7.9,16.3,64.37%,71.18%
84/738,57/625,NO CHANGE,St Anne,Tecumseh,7.8,78.00%,7.9,16.3,64.37%,71.18%
